ID;LINEA;ACERO;TIPO_ACERO;SALIDA DEL PROVEEDOR;LLEGADA A FÁBRICA;ORIGEN;TRANSPORTE;PESO NETO;INICIO DESCARGA;FIN DESCARGA;ESPESOR;TEMPERATURA;FALLAS;TURNO;SUPERVISOR
22;Línea B;Acero;ACERO SAE 1108;07-02-2024 11:15;07-02-2024 12:30;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;31200;07-02-2024 21:08;07-02-2024 23:21;15.4;38.3;;T;Melina Juárez
23;Línea A;Acero;ACERO SAE 1108;08-02-2024 8:37;08-02-2024 12:15;Coronel Isleño, Buenos Aires;MURIETTO SRL;29100;08-02-2024 18:49;08-02-2024 19:50;14.4;39.1;;T;Hugo Conte
24;Línea A;Acero;ACERO SAE 1108;07-02-2024 15:22;07-02-2024 21:45;Coronel Isleño, Buenos Aires;TRANSPORTE PUTESCO;28940;08-02-2024 8:04;08-02-2024 9:30;11;38.1;;M;Melina Juárez
25;Línea A;Acero;ACERO SAE 1108;08-02-2024 9:58;08-02-2024 13:41;Coronel Isleño, Buenos Aires;LOGISTICA CASEDEI SRL;32020;08-02-2024 19:50;08-02-2024 21:14;14.7;32.3;Pistón de brazo de descarga roto;T;Hugo Conte
26;Línea B;Acero;ACERO SAE 1108;07-02-2024 9:40;07-02-2024 10:15;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;25520;07-02-2024 11:31;07-02-2024 13:02;15.1;33.1;Rotura brazo de descarga;M;Melina Juárez
27;Línea B;Acero;ACERO SAE 1108;07-02-2024 10:50;07-02-2024 11:35;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;26160;07-02-2024 17:58;07-02-2024 18:41;14;39.4;Rotura brazo de descarga;T;Hugo Conte
28;Línea B;Acero;ACERO SAE 1108;07-02-2024 13:32;07-02-2024 14:13;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;27640;08-02-2024 3:43;08-02-2024 4:56;16;44;;N;Julieta Pérez
29;Línea B;Acero;ACERO SAE 1108;07-02-2024 14:00;07-02-2024 14:43;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;25020;08-02-2024 4:53;08-02-2024 5:45;15.1;40;;N;Julieta Pérez
30;Línea B;Acero;ACERO SAE 1108;07-02-2024 14:30;07-02-2024 14:53;Venado Tuerto, Santa Fe;TRANSPORTES RITONDO SRL;26040;08-02-2024 5:42;08-02-2024 7:15;14.7;42.3;;N;Julieta Pérez
31;Línea A;Acero;ACERO SAE 1108;07-02-2024 15:50;07-02-2024 17:15;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;26720;08-02-2024 8:12;08-02-2024 9:28;15.6;38.2;;M;Melina Juárez
32;Línea B;Acero;ACERO SAE 1108;07-02-2024 16:24;07-02-2024 17:39;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;32400;08-02-2024 9:26;08-02-2024 10:20;15.7;34.9;;M;Melina Juárez
33;Línea B;Acero;ACERO SAE 1108;07-02-2024 14:00;07-02-2024 16:15;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;28400;08-02-2024 7:18;08-02-2024 8:12;15.1;37.95;;M;Melina Juárez
34;Línea B;Acero;ACERO SAE 1108;07-02-2024 16:42;08-02-2024 0:00;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;29220;08-02-2024 10:18;08-02-2024 11:15;14.7;43.15;;M;Gonzalo Castillejos
35;Línea A;Acero;ACERO SAE 1108;08-02-2024 13:10;08-02-2024 17:11;Coronel Isleño, Buenos Aires;TRANSPORTE GIORDANO;23780;09-02-2024 3:56;09-02-2024 4:56;14.1;30.3;;N;Julieta Pérez
36;Línea A;Acero;ACERO SAE 1108;08-02-2024 17:15;08-02-2024 21:18;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;27100;09-02-2024 9:36;09-02-2024 11:04;11.5;29.85;Falla en camión;M;Melina Juárez
37;Línea B;Acero;ACERO SAE 1108;08-02-2024 19:40;08-02-2024 23:33;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;26880;09-02-2024 13:00;09-02-2024 14:46;11.1;26.9;;M;Melina Juárez
38;Línea A;Acero;ACERO SAE 1108;08-02-2024 15:10;08-02-2024 19:28;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;26080;09-02-2024 6:49;09-02-2024 7:30;11.8;27.5;;M;Melina Juárez
39;Línea B;Acero;ACERO SAE 1108;08-02-2024 16:40;08-02-2024 20:07;Coronel Isleño, Buenos Aires;LOGISTICA CASEDEI SRL;29440;09-02-2024 8:15;09-02-2024 9:24;11.8;29.8;;M;Melina Juárez
40;Línea A;Acero;ACERO SAE 1108;08-02-2024 18:15;08-02-2024 23:29;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;25360;09-02-2024 12:01;09-02-2024 12:44;11.5;32.85;;M;Melina Juárez
41;Línea A;Acero;ACERO SAE 1108;08-02-2024 14:00;08-02-2024 19:13;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;24300;09-02-2024 4:54;09-02-2024 5:46;14.5;34.9;;N;Julieta Pérez
42;Línea A;Acero;ACERO SAE 1108;08-02-2024 22:00;09-02-2024 2:07;Coronel Isleño, Buenos Aires;TRANSPORTES RITONDO SRL;26360;09-02-2024 15:19;09-02-2024 17:05;14.1;26.5;;T;Hugo Conte
43;Línea A;Acero;ACERO SAE 1108;08-02-2024 18:55;09-02-2024 14:48;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;24440;09-02-2024 15:40;09-02-2024 16:06;11.6;30.9;;M;Melina Juárez
44;Línea B;Acero;ACERO SAE 1108;08-02-2024 16:40;08-02-2024 21:54;Coronel Isleño, Buenos Aires;TRANSPORTE PUTESCO;31800;09-02-2024 9:22;09-02-2024 10:18;14.1;33.2;;M;Melina Juárez
45;Línea A;Acero;ACERO SAE 1108;08-02-2024 17:40;08-02-2024 21:04;Coronel Isleño, Buenos Aires;HERNANDEZ COMPANY;24480;09-02-2024 10:59;09-02-2024 12:05;16.4;35.2;Rotura brazo de descarga;M;Melina Juárez
46;Línea A;Acero;ACERO SAE 1108;08-02-2024 21:20;09-02-2024 1:50;Coronel Isleño, Buenos Aires;MURIETTO SRL;31320;09-02-2024 14:07;09-02-2024 15:23;15;25.5;;T;Hugo Conte
47;Línea A;Acero;ACERO SAE 1108;08-02-2024 20:30;09-02-2024 0:50;Coronel Isleño, Buenos Aires;LOGISTICA CASEDEI SRL;26120;09-02-2024 14:07;09-02-2024 15:00;15.1;28.9;;T;Hugo Conte
48;Línea A;Acero;ACERO SAE 1108;08-02-2024 11:38;08-02-2024 12:42;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;32480;08-02-2024 15:33;08-02-2024 16:49;11.8;34.9;;T;Hugo Conte
49;Línea B;Acero;ACERO SAE 1108;08-02-2024 12:20;08-02-2024 13:24;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;27340;08-02-2024 20:07;08-02-2024 21:22;11.9;32.3;;T;Hugo Conte
50;Línea B;Acero;ACERO SAE 1108;08-02-2024 14:40;08-02-2024 15:57;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;25340;09-02-2024 0:20;09-02-2024 1:54;11.4;35;Rotura brazo de descarga;N;Julieta Pérez
51;Línea B;Acero;ACERO SAE 1108;08-02-2024 10:50;08-02-2024 11:53;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;28860;08-02-2024 16:16;08-02-2024 17:05;11.1;29.2;;T;Hugo Conte
52;Línea B;Acero;ACERO SAE 1108;08-02-2024 12:10;08-02-2024 13:11;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;26380;08-02-2024 19:38;08-02-2024 20:10;11.1;31.7;;M;Melina Juárez
53;Línea A;Acero;ACERO SAE 1108;08-02-2024 9:40;08-02-2024 10:49;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;29020;08-02-2024 12:37;08-02-2024 13:35;11;26.6;;M;Melina Juárez
54;Línea B;Acero;ACERO SAE 1108;08-02-2024 10:20;08-02-2024 11:22;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;24080;08-02-2024 15:14;08-02-2024 16:19;11;41.4;;T;Hugo Conte
55;Línea B;Acero;ACERO SAE 1108;08-02-2024 9:00;08-02-2024 9:40;Venado Tuerto, Santa Fe;HERNANDEZ COMPANY;26360;08-02-2024 12:49;08-02-2024 13:50;11.7;24.45;Rotura brazo de descarga;M;Melina Juárez
56;Línea B;Acero;ACERO SAE 1108;08-02-2024 14:10;08-02-2024 14:52;Venado Tuerto, Santa Fe;HERNANDEZ COMPANY;26600;08-02-2024 21:23;08-02-2024 23:09;11.1;33;;T;Hugo Conte
57;Línea B;Acero;ACERO SAE 1108;08-02-2024 14:32;08-02-2024 15:41;Venado Tuerto, Santa Fe;MURIETTO SRL;38620;08-02-2024 23:05;09-02-2024 0:23;11.1;34;;N;Julieta Pérez
58;Línea B;Acero;ACERO SAE 1108;08-02-2024 15:10;08-02-2024 16:06;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;25600;09-02-2024 1:51;09-02-2024 2:25;11;35;;N;Melina Juárez
59;Línea B;Acero;ACERO SAE 1108;08-02-2024 17:35;08-02-2024 18:26;Venado Tuerto, Santa Fe;TRANSPORTE GIORDANO;32340;09-02-2024 18:14;09-02-2024 18:51;11.8;29.8;;T;Hugo Conte
60;Línea B;Acero;ACERO SAE 1108;08-02-2024 15:40;08-02-2024 16:26;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;26780;09-02-2024 15:24;09-02-2024 16:40;14.4;35.4;;T;Gonzalo Castillejos
61;Línea B;Acero;ACERO SAE 1108;08-02-2024 16:15;08-02-2024 17:33;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;31040;09-02-2024 16:39;09-02-2024 18:13;11.4;30.3;;T;Hugo Conte
62;Línea B;Acero;ACERO SAE 1108;08-02-2024 15:28;08-02-2024 16:25;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;29540;09-02-2024 4:03;09-02-2024 5:50;11.4;33.7;;N;Julieta Pérez
63;Línea B;Acero;ACERO SAE 1108;08-02-2024 18:15;08-02-2024 19:38;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;28520;09-02-2024 20:50;09-02-2024 21:40;11.6;27.5;;T;Hugo Conte
64;Línea A;Acero;ACERO SAE 1108;08-02-2024 19:15;08-02-2024 20:42;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;29600;09-02-2024 21:04;09-02-2024 22:08;11.9;26.9;;T;Hugo Conte
65;Línea A;Acero;ACERO SAE 1108;08-02-2024 18:40;08-02-2024 19:50;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;28660;09-02-2024 19:19;09-02-2024 21:05;14.1;27.8;;T;Hugo Conte
66;Línea A;Acero;ACERO SAE 1108;11-02-2024 14:15;11-02-2024 17:41;Coronel Isleño, Buenos Aires;TRANSPORTE GIORDANO;27080;11-02-2024 23:30;12-02-2024 0:13;14.1;30.7;;N;Julieta Pérez
67;Línea A;Acero;ACERO SAE 1108;11-02-2024 13:30;11-02-2024 17:46;Coronel Isleño, Buenos Aires;MURIETTO SRL;25660;11-02-2024 22:33;11-02-2024 23:29;11.8;34;;N;Melina Juárez
68;Línea A;Acero;ACERO SAE 1108;11-02-2024 17:30;11-02-2024 20:57;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;27620;12-02-2024 3:40;12-02-2024 4:48;11.1;28.7;;N;Melina Juárez
69;Línea A;Acero;ACERO SAE 1108;11-02-2024 18:30;11-02-2024 22:05;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;27060;12-02-2024 8:50;12-02-2024 9:55;11.4;30.5;;M;Hugo Conte
70;Línea A;Acero;ACERO SAE 1108;11-02-2024 15:37;11-02-2024 19:40;Coronel Isleño, Buenos Aires;TRANSPORTE GIORDANO;25060;12-02-2024 2:35;12-02-2024 3:45;11.9;30.7;;N;Julieta Pérez
71;Línea B;Acero;ACERO SAE 1108;11-02-2024 14:30;11-02-2024 15:40;Venado Tuerto, Santa Fe;TRANSPORTE GIORDANO;30560;11-02-2024 23:22;12-02-2024 0:20;11.1;31.2;;N;Julieta Pérez
72;Línea B;Acero;ACERO SAE 1108;11-02-2024 15:15;11-02-2024 16:37;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;30000;12-02-2024 0:20;12-02-2024 1:50;11.7;33.55;;N;Julieta Pérez
73;Línea A;Acero;ACERO SAE 1108;11-02-2024 14:10;11-02-2024 23:33;Venado Tuerto, Santa Fe;TRANSPORTES RITONDO SRL;29860;12-02-2024 22:32;12-02-2024 22:46;14.5;35.8;;M;Hugo Conte
74;Línea B;Acero;ACERO SAE 1108;11-02-2024 16:06;11-02-2024 17:00;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;29400;12-02-2024 2:32;12-02-2024 3:25;11.1;32.55;;N;Melina Juárez
75;Línea A;Acero;ACERO SAE 1108;11-02-2024 17:45;11-02-2024 18:54;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;25580;12-02-2024 10:26;12-02-2024 11:20;14.1;30;;M;Hugo Conte
76;Línea B;Acero;ACERO SAE 1108;11-02-2024 16:50;11-02-2024 17:56;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;27900;12-02-2024 3:30;12-02-2024 4:30;10;35.85;;N;Julieta Pérez
77;Línea B;Acero;ACERO SAE 1108;11-02-2024 19:10;11-02-2024 23:30;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;23960;12-02-2024 11:56;12-02-2024 12:35;11.4;29.6;;M;Melina Juárez
78;Línea B;Acero;ACERO SAE 1108;11-02-2024 19:00;12-02-2024 0:03;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;22020;12-02-2024 11:21;12-02-2024 11:58;11.1;32.9;;M;Hugo Conte
79;Línea A;Acero;ACERO SAE 1108;11-02-2024 14:50;11-02-2024 18:29;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;26740;12-02-2024 0:11;12-02-2024 0:55;11.5;32.3;;N;Julieta Pérez
80;Línea A;Acero;ACERO SAE 1108;11-02-2024 18:00;11-02-2024 21:28;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;24140;12-02-2024 7:56;12-02-2024 8:50;11.1;25.5;;M;Melina Juárez
81;Línea A;Acero;ACERO SAE 1108;11-02-2024 15:30;11-02-2024 19:30;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;26900;12-02-2024 0:52;12-02-2024 1:47;14.1;35.85;;N;Melina Juárez
82;Línea B;Acero;ACERO SAE 1055;14-02-2024 16:50;14-02-2024 18:13;Murphy, Santa Fe;HERNANDEZ COMPANY;25200;15-02-2024 7:56;15-02-2024 9:04;15.5;31.9;;M;Gonzalo Castillejos
83;Línea B;Acero;ACERO SAE 1055;14-02-2024 20:45;14-02-2024 22:12;Murphy, Santa Fe;HERNANDEZ COMPANY;24520;15-02-2024 10:37;15-02-2024 11:20;11.8;20.8;;M;Gonzalo Castillejos
84;Línea B;Acero;ACERO SAE 1055;14-02-2024 17:50;14-02-2024 19:06;Murphy, Santa Fe;HERNANDEZ COMPANY;24380;15-02-2024 9:03;15-02-2024 9:44;14.5;24.5;;M;Gonzalo Castillejos
85;Línea B;Acero;ACERO SAE 1055;14-02-2024 21:40;14-02-2024 22:35;Murphy, Santa Fe;HERNANDEZ COMPANY;18840;15-02-2024 11:21;15-02-2024 12:28;14.1;19.6;;M;Gonzalo Castillejos
86;Línea B;Acero;ACERO SAE 1108;14-02-2024 13:00;14-02-2024 14:49;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;27140;15-02-2024 1:33;15-02-2024 2:35;11.6;30.1;;N;Melina Juárez
87;Línea B;Acero;ACERO SAE 1108;14-02-2024 10:20;14-02-2024 11:34;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;34880;14-02-2024 17:44;14-02-2024 18:19;14.5;23.7;;T;Gonzalo Castillejos
88;Línea B;Acero;ACERO SAE 1108;14-02-2024 7:40;14-02-2024 8:55;Venado Tuerto, Santa Fe;HERNANDEZ COMPANY;25960;14-02-2024 11:21;14-02-2024 13:01;11.4;23.4;;M;Hugo Conte
89;Línea B;Acero;ACERO SAE 1108;14-02-2024 8:50;14-02-2024 10:06;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;27640;14-02-2024 14:50;14-02-2024 15:44;11.1;20.8;;T;Gonzalo Castillejos
90;Línea B;Acero;ACERO SAE 1108;14-02-2024 12:16;14-02-2024 12:59;Venado Tuerto, Santa Fe;TRANSPORTE GIORDANO;25580;15-02-2024 0:48;15-02-2024 1:30;10.6;29.4;;N;Melina Juárez
91;Línea B;Acero;ACERO SAE 1108;14-02-2024 9:45;14-02-2024 10:30;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;29040;14-02-2024 16:32;14-02-2024 17:37;11.1;26.9;;T;Gonzalo Castillejos
92;Línea B;Acero;ACERO SAE 1108;14-02-2024 12:00;14-02-2024 14:18;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;28400;14-02-2024 23:47;15-02-2024 0:46;10.6;29.5;;N;Melina Juárez
93;Línea B;Acero;ACERO SAE 1108;14-02-2024 10:50;14-02-2024 12:00;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;27560;14-02-2024 20:18;14-02-2024 21:20;11.5;24.8;;T;Gonzalo Castillejos
94;Línea B;Acero;ACERO SAE 1108;14-02-2024 11:50;14-02-2024 13:31;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;25700;14-02-2024 22:53;14-02-2024 23:49;11.4;28;;N;Gonzalo Castillejos
95;Línea B;Acero;ACERO SAE 1108;14-02-2024 11:10;14-02-2024 12:19;Venado Tuerto, Santa Fe;MURIETTO SRL;25900;14-02-2024 21:18;14-02-2024 22:52;10.1;27.4;;T;Gonzalo Castillejos
96;Línea B;Acero;ACERO SAE 1108;14-02-2024 9:14;14-02-2024 10:22;Venado Tuerto, Santa Fe;TRANSPORTES RITONDO SRL;29400;14-02-2024 15:42;14-02-2024 16:34;11.1;28.1;;T;Gonzalo Castillejos
97;Línea B;Acero;ACERO SAE 1108;14-02-2024 8:15;14-02-2024 8:55;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;29340;14-02-2024 13:00;14-02-2024 13:52;11.1;20.6;;M;Gonzalo Castillejos
98;Línea A;Acero;ACERO SAE 1108;11-02-2024 19:10;11-02-2024 19:45;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;35240;12-02-2024 12:28;12-02-2024 13:36;14.1;35.1;;M;Melina Juárez
99;Línea A;Acero;ACERO SAE 1108;11-02-2024 18:25;11-02-2024 19:04;Venado Tuerto, Santa Fe;MURIETTO SRL;29520;12-02-2024 11:24;12-02-2024 12:30;14.1;35.5;;M;Melina Juárez
100;Línea B;Acero;ACERO SAE 1108;11-02-2024 19:35;11-02-2024 20:25;Venado Tuerto, Santa Fe;LOGISTICA CASEDEI SRL;28920;12-02-2024 12:50;12-02-2024 13:39;11.1;35;;M;Melina Juárez
101;Línea A;Acero;ACERO SAE 1108;14-02-2024 11:10;14-02-2024 12:37;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;23000;14-02-2024 21:37;14-02-2024 22:30;11.5;26.7;;T;Gonzalo Castillejos
102;Línea A;Acero;ACERO SAE 1108;14-02-2024 9:58;14-02-2024 11:39;Runciman, Santa Fe;MURIETTO SRL;28500;14-02-2024 19:37;14-02-2024 20:57;11;24.3;;T;Gonzalo Castillejos
103;Línea A;Acero;ACERO SAE 1108;14-02-2024 10:38;14-02-2024 12:00;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;21500;14-02-2024 20:53;14-02-2024 21:40;11.1;23.7;Falla en camión;T;Gonzalo Castillejos
104;Línea A;Acero;ACERO SAE 1108;14-02-2024 18:30;14-02-2024 22:12;Provincia de Buenos Aires;LOGISTICA CASEDEI SRL;30020;15-02-2024 11:53;15-02-2024 12:46;18.4;28.9;;M;Hugo Conte
105;Línea A;Acero;ACERO SAE 1108;14-02-2024 16:43;14-02-2024 20:05;Provincia de Buenos Aires;TRANSPORTE CABRERA;27260;15-02-2024 7:59;15-02-2024 8:55;17.1;30;;M;Hugo Conte
106;Línea A;Acero;ACERO SAE 1108;14-02-2024 19:10;14-02-2024 23:09;Provincia de Buenos Aires;TRANSPORTE CABRERA;29780;15-02-2024 12:46;15-02-2024 13:39;18.7;29.7;;M;Hugo Conte
107;Línea A;Acero;ACERO SAE 1108;14-02-2024 15:55;14-02-2024 17:57;Provincia de Buenos Aires;TRANSPORTE PUTESCO;33060;15-02-2024 5:13;15-02-2024 6:17;16.7;27.6;;N;Melina Juárez
108;Línea A;Acero;ACERO SAE 1108;13-02-2024 9:27;14-02-2024 10:45;Runciman, Santa Fe;TRANSPORTE CABRERA;22120;14-02-2024 18:45;14-02-2024 19:40;11.5;26;Falla en camión;T;Gonzalo Castillejos
109;Línea B;Acero;ACERO SAE 1108;14-02-2024 15:35;14-02-2024 17:27;Venado Tuerto, Santa Fe;HERNANDEZ COMPANY;30740;15-02-2024 4:40;15-02-2024 5:31;10.1;31.4;;N;Gonzalo Castillejos
110;Línea A;Acero;ACERO SAE 1108;14-02-2024 18:00;14-02-2024 22:10;Provincia de Buenos Aires;BUSTAMANTE E HIJOS S.A;27760;15-02-2024 9:53;15-02-2024 10:55;18.1;30;Falla en camión;M;Hugo Conte
111;Línea B;Acero;ACERO SAE 1108;14-02-2024 16:00;14-02-2024 17:05;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;31500;15-02-2024 5:35;15-02-2024 7:09;11.1;32.3;;N;Gonzalo Castillejos
112;Línea A;Acero;ACERO SAE 1108;14-02-2024 12:20;14-02-2024 13:43;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;20560;15-02-2024 0:51;15-02-2024 1:35;11.9;29.5;;N;Gonzalo Castillejos
113;Línea B;Acero;ACERO SAE 1108;14-02-2024 14:20;14-02-2024 16:49;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;27960;15-02-2024 3:35;15-02-2024 4:15;11.1;29.9;;N;Melina Juárez
